Coalition,Date,Region or State,Adult ICU Empty ,Adult ICU Full,Adult Intensive Care Unit Staffed Bed Capacity,at_admission_confirmed_covid19_patients_in_24_hrs,at_admission_suspected_covid19_patients_in_24_hrs,ED COVID Visits Previous Day,ED Total Visits Previous Day,full_adult_icu_covid19_positive_patients,Hospitalized and Ventilated COVID Inpatient Count,ICU Licensed Beds,Inpatient Empty Beds (all types),Inpatient Full (all bed types),Licensed Inpatient Beds,Number of COVID-19 Positive Patients In Hospital,Parent Name,TOTAL Staffed Inpatient Capacity (all bed types),Ventilator available,Ventilator used (not specific to COVID-19)
MAHPC,4/20/2020,State,73,92,165,,,,,,,247,494,727,1979,12,15,1221,172,36
MAHPC,5/19/2020,State,75,89,164,,,,,,,247,328,922,1979,6,15,1250,182,22
MAHPC,4/28/2020,State,76,93,169,,,,,,,247,410,778,1979,9,15,1188,172,34
MAHPC,5/5/2020,State,77,90,167,,,,,,,247,393,852,1979,12,15,1245,176,29
MAHPC,5/14/2020,State,84,79,163,,,,,,,247,553,919,1979,5,15,1472,181,25
MAHPC,8/31/2020,State,77,92,169,1,42,1,90,9,5,247,472,863,1979,47,15,1335,138,34
MAHPC,6/11/2021,State,65,108,173,2,14,40,897,6,5,247,553,903,1979,16,15,1456,136,47
MAHPC,9/13/2020,State,68,105,173,2,25,38,376,16,7,247,542,903,1979,49,15,1445,145,37
MAHPC,9/21/2020,State,64,109,173,2,37,36,376,18,10,247,526,949,1979,45,15,1475,140,45
MAHPC,6/5/2021,State,62,111,173,3,19,67,827,6,1,247,563,840,1979,23,15,1403,143,36
MAHPC,9/19/2020,State,67,106,173,3,38,41,406,17,7,247,548,870,1979,43,15,1418,136,46
MAHPC,9/11/2020,State,59,114,173,3,45,30,416,13,9,247,484,903,1979,47,15,1387,149,33
MAHPC,10/22/2020,State,58,115,173,4,25,39,351,11,2,247,447,1017,1979,45,15,1464,140,45
MAHPC,2/27/2021,State,82,106,188,4,28,73,787,17,7,247,621,846,1979,49,15,1467,141,38
MAHPC,9/20/2020,State,71,102,173,4,36,43,363,18,9,247,555,858,1979,47,15,1413,136,46
MAHPC,8/14/2020,State,75,94,169,5,46,,,17,,247,480,865,1979,59,15,1345,136,38
MAHPC,8/13/2020,State,69,106,175,5,47,,,17,,247,464,881,1979,58,15,1345,134,40
MAHPC,8/21/2020,State,68,101,169,5,58,,,11,,247,463,886,1979,53,15,1349,131,43
MAHPC,9/14/2020,State,61,111,172,5,43,37,395,17,6,247,533,912,1979,48,15,1445,142,40
MAHPC,5/22/2021,State,80,108,188,6,14,50,817,9,4,247,585,837,1979,28,15,1422,146,33
MAHPC,10/10/2020,State,57,116,173,6,61,62,418,15,5,247,503,905,1979,53,15,1408,141,41
MAHPC,9/12/2020,State,62,110,172,6,51,37,415,14,7,247,526,924,1979,49,15,1450,148,34
MAHPC,9/27/2020,State,61,112,173,6,35,51,335,18,11,247,499,919,1979,42,15,1418,127,55
MAHPC,10/1/2020,State,62,111,173,6,47,31,384,25,13,247,476,994,1979,40,15,1470,138,47
MAHPC,8/3/2020,State,68,101,169,7,47,,,20,,247,524,816,1979,56,15,1340,139,35
MAHPC,5/2/2021,State,84,105,189,7,19,74,840,6,3,247,567,851,1979,48,15,1418,136,43
MAHPC,8/6/2020,State,66,103,169,8,52,,,21,,247,500,840,1979,63,15,1340,126,47
MAHPC,7/15/2020,State,69,101,170,8,53,,,16,,247,536,809,1979,40,15,1345,131,39
MAHPC,8/27/2020,State,68,100,168,8,50,4,76,9,8,247,405,930,1979,52,15,1335,135,39
MAHPC,10/2/2020,State,59,110,169,8,50,37,329,19,8,247,475,916,1979,40,15,1391,128,49
MAHPC,11/26/2020,State,57,116,173,8,28,51,342,19,10,247,459,947,1979,73,15,1406,131,51
MAHPC,7/24/2020,State,67,104,171,9,56,,,12,,247,552,793,1979,45,15,1345,128,42
MAHPC,3/29/2021,State,91,97,188,9,23,92,806,8,1,247,550,917,1979,38,15,1467,134,45
MAHPC,4/17/2021,State,63,126,189,9,23,56,847,15,7,247,473,993,1979,51,15,1466,133,46
MAHPC,7/9/2020,State,68,104,172,11,53,,,15,,247,460,824,1979,36,15,1284,129,43
MAHPC,10/3/2020,State,66,107,173,11,58,46,392,17,11,247,515,898,1979,42,15,1413,138,44
MAHPC,7/31/2020,State,70,99,169,13,45,,,20,,247,504,841,1979,59,15,1345,135,39
MAHPC,12/25/2020,State,58,141,199,20,31,81,305,56,20,247,656,816,1979,184,15,1472,131,52
MAHPC,1/30/2021,State,64,135,199,25,35,103,711,35,20,247,505,962,1979,156,15,1467,128,52
MAHPC,1/2/2021,State,48,151,199,29,32,76,338,65,21,247,481,991,1979,237,15,1472,123,60
MAHPC,12/23/2020,State,48,151,199,35,46,96,386,63,18,247,524,943,1979,202,15,1467,120,63
MAHPC,12/18/2020,State,47,148,195,37,43,96,325,50,19,247,478,951,1979,171,15,1429,116,61
MAHPC,4/9/2020,State,59,115,174,,,,,,,247,562,738,1979,8,16,1300,187,33
MAHPC,6/29/2020,State,81,95,176,0,41,,,9,,247,538,855,1979,25,16,1393,133,46
MAHPC,6/15/2021,State,70,108,178,0,17,48,1003,4,3,247,512,966,1979,11,16,1478,138,48
MAHPC,6/16/2021,State,64,115,179,0,21,62,935,5,3,247,504,984,1979,8,16,1488,134,52
MAHPC,5/16/2021,State,91,104,195,0,21,71,862,10,3,247,584,909,1979,37,16,1493,157,29
MAHPC,6/13/2021,State,60,119,179,0,21,64,876,5,4,247,579,890,1979,17,16,1469,142,44
MAHPC,6/9/2021,State,56,122,178,0,23,59,975,8,4,247,499,992,1979,22,16,1491,138,48
MAHPC,6/4/2021,State,71,108,179,1,27,51,825,8,1,247,564,915,1979,28,16,1479,145,41
MAHPC,6/22/2021,State,67,111,178,1,20,51,1034,3,2,247,486,1009,1979,18,16,1495,136,47
MAHPC,6/7/2021,State,59,119,178,1,16,69,920,9,3,247,546,944,1979,26,16,1490,141,45
MAHPC,6/17/2021,State,64,115,179,1,17,46,918,5,3,247,529,961,1979,8,16,1490,135,51
MAHPC,5/23/2021,State,75,120,195,1,17,62,849,11,4,247,631,867,1979,25,16,1498,150,36
MAHPC,6/12/2021,State,63,115,178,1,23,64,893,6,4,247,560,920,1979,14,16,1480,140,46
MAHPC,9/18/2020,State,70,109,179,1,54,36,383,17,7,247,546,955,1979,42,16,1501,136,53
MAHPC,7/6/2020,State,78,98,176,2,32,,,9,,247,550,851,1979,34,16,1401,138,41
MAHPC,6/20/2021,State,66,113,179,2,10,50,885,3,2,247,585,902,1979,17,16,1487,148,35
MAHPC,6/6/2021,State,67,111,178,2,16,51,868,8,2,247,582,899,1979,24,16,1481,146,40
MAHPC,6/18/2021,State,65,114,179,2,25,52,931,6,3,247,549,937,1979,13,16,1486,145,41
MAHPC,6/3/2021,State,73,106,179,2,30,63,837,8,3,247,545,933,1979,27,16,1478,149,37
MAHPC,5/30/2021,State,91,104,195,2,16,72,831,7,4,247,588,911,1979,25,16,1499,138,48
MAHPC,5/21/2021,State,75,119,194,2,19,76,866,7,4,247,562,949,1979,28,16,1511,157,29
MAHPC,5/24/2021,State,85,110,195,2,20,71,895,12,4,247,566,934,1979,29,16,1500,138,48
MAHPC,11/2/2020,State,65,114,179,2,29,38,351,15,4,247,536,958,1979,50,16,1494,136,53
MAHPC,6/1/2021,State,89,106,195,2,15,44,902,12,5,247,583,914,1979,30,16,1497,140,46
MAHPC,10/7/2020,State,54,124,178,2,48,51,395,16,7,247,457,1031,1979,49,16,1488,139,50
MAHPC,4/14/2021,State,69,125,194,2,26,86,850,16,10,247,521,1028,1979,60,16,1549,137,49
MAHPC,9/28/2020,State,58,121,179,2,42,48,351,23,14,247,531,970,1979,46,16,1501,131,58
MAHPC,3/18/2021,State,88,107,195,3,31,69,787,7,1,247,571,984,1979,38,16,1555,148,38
MAHPC,6/14/2021,State,73,106,179,3,18,62,915,6,3,247,559,915,1979,20,16,1474,132,54
MAHPC,5/12/2021,State,90,105,195,3,19,72,886,9,4,247,525,983,1979,40,16,1508,141,45
MAHPC,10/28/2020,State,59,120,179,3,37,54,383,15,4,247,453,1046,1979,59,16,1499,148,41
MAHPC,5/10/2021,State,101,93,194,3,22,88,875,10,5,247,583,907,1979,39,16,1490,147,39
MAHPC,10/19/2020,State,68,111,179,3,32,55,345,16,5,247,525,970,1979,63,16,1495,143,46
MAHPC,3/7/2021,State,109,86,195,3,21,57,720,12,7,247,676,879,1979,59,16,1555,147,39
MAHPC,3/8/2021,State,98,97,195,3,25,69,766,14,8,247,599,961,1979,64,16,1560,153,33
MAHPC,9/15/2020,State,62,117,179,3,52,31,426,17,8,247,526,980,1979,49,16,1506,148,41
MAHPC,11/15/2020,State,58,121,179,3,24,48,338,20,9,247,537,957,1979,58,16,1494,141,48
MAHPC,2/22/2021,State,75,120,195,3,25,70,703,16,10,247,619,941,1979,64,16,1560,139,47
MAHPC,9/30/2020,State,62,117,179,3,51,49,373,27,12,247,478,1023,1979,38,16,1501,139,50
MAHPC,3/24/2021,State,103,92,195,4,32,90,817,6,0,247,567,993,1979,37,16,1560,152,34
MAHPC,3/21/2021,State,115,80,195,4,27,75,787,5,1,247,614,941,1979,33,16,1555,152,34
MAHPC,6/8/2021,State,58,121,179,4,18,63,874,9,3,247,527,963,1979,23,16,1490,140,46
MAHPC,5/13/2021,State,74,121,195,4,22,77,796,10,3,247,547,959,1979,38,16,1506,140,46
MAHPC,5/17/2021,State,86,109,195,4,34,88,823,6,3,247,547,955,1979,38,16,1502,155,31
MAHPC,5/20/2021,State,79,116,195,4,17,84,890,8,4,247,529,986,1979,30,16,1515,154,32
MAHPC,6/2/2021,State,78,117,195,4,19,53,895,12,5,247,523,982,1979,32,16,1505,144,42
MAHPC,10/12/2020,State,66,113,179,4,47,50,350,17,5,247,537,963,1979,65,16,1500,149,40
MAHPC,4/30/2021,State,72,123,195,4,21,72,881,11,6,247,532,980,1979,54,16,1512,132,54
MAHPC,3/13/2021,State,89,105,194,4,26,83,873,16,6,247,616,939,1979,50,16,1555,142,44
MAHPC,11/20/2020,State,66,113,179,4,25,55,322,14,8,247,518,976,1979,60,16,1494,144,45
MAHPC,9/23/2020,State,57,122,179,4,48,48,377,18,11,247,477,1024,1979,29,16,1501,141,48
MAHPC,6/26/2020,State,71,107,178,5,42,,,9,,247,502,898,1979,24,16,1400,141,37
MAHPC,3/22/2021,State,112,83,195,5,20,69,759,4,0,247,598,962,1979,37,16,1560,152,34
MAHPC,3/26/2021,State,94,101,195,5,29,78,747,7,1,247,572,983,1979,34,16,1555,154,32
MAHPC,6/19/2021,State,75,104,179,5,10,36,935,5,3,247,597,888,1979,18,16,1485,146,37
MAHPC,5/27/2021,State,75,120,195,5,21,63,881,9,4,247,545,965,1979,28,16,1510,143,43
MAHPC,9/16/2020,State,71,108,179,5,54,36,359,18,6,247,487,1014,1979,52,16,1501,149,40
MAHPC,9/17/2020,State,75,104,179,5,58,32,380,21,7,247,499,1002,1979,46,16,1501,141,48
MAHPC,3/10/2021,State,99,96,195,5,26,68,828,18,8,247,574,981,1979,55,16,1555,144,42
MAHPC,11/22/2020,State,65,114,179,5,27,38,330,16,8,247,518,976,1979,59,16,1494,143,46
MAHPC,4/26/2021,State,86,109,195,5,23,114,893,13,9,247,554,971,1979,65,16,1525,141,45
MAHPC,11/16/2020,State,61,118,179,5,30,53,341,19,10,247,524,965,1979,59,16,1489,137,52
MAHPC,3/25/2021,State,92,103,195,6,29,87,884,9,0,247,555,1000,1979,37,16,1555,158,28
MAHPC,10/26/2020,State,69,110,179,6,21,52,364,10,2,247,499,995,1979,54,16,1494,146,43
MAHPC,5/3/2021,State,80,115,195,6,14,83,855,6,3,247,576,934,1979,47,16,1510,139,47
MAHPC,3/14/2021,State,94,100,194,6,25,80,764,14,3,247,616,939,1979,47,16,1555,148,38
MAHPC,5/25/2021,State,86,109,195,6,26,72,957,12,3,247,525,980,1979,27,16,1505,139,47
MAHPC,5/18/2021,State,84,111,195,6,12,62,989,7,4,247,536,977,1979,38,16,1513,156,30
MAHPC,5/7/2021,State,90,104,194,6,19,74,897,13,5,247,566,938,1979,40,16,1504,146,40
MAHPC,4/18/2021,State,97,98,195,6,28,78,853,17,6,247,638,916,1979,47,16,1554,146,40
MAHPC,4/4/2021,State,94,100,194,6,19,82,782,11,7,247,658,897,1979,46,16,1555,145,41
MAHPC,3/1/2021,State,75,120,195,6,35,83,770,14,7,247,609,951,1979,54,16,1560,144,42
MAHPC,2/28/2021,State,86,109,195,6,36,90,759,15,7,247,669,891,1979,51,16,1560,145,41
MAHPC,4/25/2021,State,83,112,195,6,25,79,734,15,9,247,612,918,1979,59,16,1530,146,40
MAHPC,10/5/2020,State,62,116,178,6,52,59,360,19,12,247,509,984,1979,45,16,1493,133,56
MAHPC,6/30/2020,State,64,108,172,7,62,,,7,,247,486,907,1979,27,16,1393,137,42
MAHPC,5/19/2021,State,80,115,195,7,26,64,837,9,4,247,492,1018,1979,36,16,1510,151,35
MAHPC,5/8/2021,State,99,95,194,7,26,99,858,12,5,247,638,861,1979,44,16,1499,149,37
MAHPC,3/16/2021,State,88,107,195,7,32,75,851,9,5,247,534,1021,1979,43,16,1555,136,50
MAHPC,3/4/2021,State,103,92,195,7,32,76,736,12,6,247,609,951,1979,51,16,1560,148,38
MAHPC,3/12/2021,State,96,99,195,7,22,79,782,14,7,247,613,942,1979,49,16,1555,148,38
MAHPC,2/25/2021,State,76,119,195,7,27,75,760,16,7,247,561,994,1979,53,16,1555,147,39
MAHPC,11/12/2020,State,61,118,179,7,33,42,410,19,7,247,453,1041,1979,74,16,1494,143,46
MAHPC,11/27/2020,State,74,105,179,7,25,59,307,14,9,247,561,933,1979,68,16,1494,141,48
MAHPC,11/5/2020,State,63,116,179,7,33,59,342,21,9,247,491,1008,1979,58,16,1499,141,48
MAHPC,11/14/2020,State,60,119,179,7,31,38,375,19,10,247,534,965,1979,62,16,1499,140,49
MAHPC,11/29/2020,State,74,105,179,7,37,64,361,18,10,247,529,960,1979,81,16,1489,139,50
MAHPC,9/29/2020,State,61,118,179,7,55,45,439,28,13,247,455,1046,1979,45,16,1501,138,51
MAHPC,10/23/2020,State,55,124,179,8,23,55,391,14,1,247,484,1011,1979,48,16,1495,140,49
MAHPC,5/28/2021,State,79,116,195,8,16,66,931,11,4,247,569,940,1979,29,16,1509,137,48
MAHPC,11/3/2020,State,66,113,179,8,49,57,391,18,6,247,508,991,1979,63,16,1499,125,64
MAHPC,4/11/2021,State,84,111,195,8,20,68,678,13,7,247,616,938,1979,54,16,1554,148,38
MAHPC,4/29/2021,State,65,129,194,8,27,85,900,12,7,247,512,1009,1979,61,16,1521,133,53
MAHPC,4/24/2021,State,81,114,195,8,21,91,841,13,8,247,570,959,1979,73,16,1529,147,39
MAHPC,2/20/2021,State,87,108,195,8,23,77,757,17,8,247,666,889,1979,76,16,1555,147,39
MAHPC,4/15/2021,State,74,121,195,8,26,92,881,17,8,247,507,1042,1979,55,16,1549,134,52
MAHPC,4/6/2021,State,90,105,195,8,23,79,826,14,9,247,586,969,1979,53,16,1555,144,42
MAHPC,2/8/2021,State,70,135,205,8,24,72,627,30,15,247,618,942,1979,117,16,1560,135,51
MAHPC,3/17/2021,State,97,98,195,9,30,93,815,9,2,247,563,997,1979,39,16,1560,142,44
MAHPC,10/9/2020,State,56,123,179,9,56,45,376,19,5,247,500,991,1979,54,16,1491,144,45
MAHPC,4/7/2021,State,103,92,195,9,17,96,872,17,8,247,606,912,1979,42,16,1518,148,38
MAHPC,4/8/2021,State,91,103,194,9,21,85,910,15,8,247,606,914,1979,38,16,1520,148,38
MAHPC,4/19/2021,State,93,102,195,9,25,84,782,18,8,247,579,970,1979,52,16,1549,141,45
MAHPC,2/18/2021,State,78,117,195,9,39,73,710,21,8,247,537,1023,1979,82,16,1560,145,41
MAHPC,11/7/2020,State,61,115,176,9,33,42,375,21,10,247,536,963,1979,59,16,1499,128,61
MAHPC,11/30/2020,State,71,108,179,9,25,59,349,25,11,247,498,996,1979,88,16,1494,132,55
MAHPC,2/3/2021,State,55,150,205,9,46,92,654,35,14,247,489,1066,1979,137,16,1555,135,52
MAHPC,2/7/2021,State,72,133,205,9,22,79,681,33,18,247,647,908,1979,121,16,1555,130,56
MAHPC,3/23/2021,State,97,98,195,10,30,100,915,5,0,247,556,1004,1979,36,16,1560,155,31
MAHPC,3/31/2021,State,103,92,195,10,22,57,834,8,1,247,532,1028,1979,45,16,1560,145,41
MAHPC,2/26/2021,State,89,106,195,10,27,85,783,16,7,247,606,954,1979,53,16,1560,145,41
MAHPC,3/11/2021,State,92,103,195,10,33,93,816,17,8,247,570,985,1979,51,16,1555,145,41
MAHPC,4/12/2021,State,86,109,195,10,29,82,727,14,10,247,539,996,1979,59,16,1535,131,55
MAHPC,2/21/2021,State,79,116,195,10,27,86,744,18,11,247,677,878,1979,71,16,1555,142,44
MAHPC,4/20/2021,State,89,106,195,11,22,104,918,18,6,247,576,978,1979,62,16,1554,143,43
MAHPC,10/8/2020,State,56,123,179,11,50,63,412,19,6,247,448,1050,1979,63,16,1498,145,44
MAHPC,4/5/2021,State,87,107,194,11,15,74,740,12,8,247,620,935,1979,48,16,1555,144,42
MAHPC,4/27/2021,State,67,128,195,11,22,99,943,14,9,247,503,1019,1979,64,16,1522,138,48
MAHPC,2/15/2021,State,77,123,200,11,30,80,673,25,9,247,544,1016,1979,99,16,1560,135,51
MAHPC,11/25/2020,State,51,128,179,11,33,50,352,20,12,247,453,1039,1979,77,16,1492,135,54
MAHPC,10/30/2020,State,63,116,179,12,33,52,377,16,5,247,527,967,1979,60,16,1494,148,41
MAHPC,10/15/2020,State,61,118,179,12,58,58,385,20,6,247,464,1031,1979,66,16,1495,137,52
MAHPC,3/2/2021,State,84,111,195,12,34,99,797,16,8,247,581,979,1979,58,16,1560,141,45
MAHPC,3/28/2021,State,101,94,195,13,20,63,748,6,1,247,644,911,1979,37,16,1555,151,35
MAHPC,10/29/2020,State,54,125,179,13,32,50,365,13,3,247,446,1048,1979,63,16,1494,156,33
MAHPC,11/19/2020,State,57,121,178,13,23,38,344,17,7,247,500,988,1979,60,16,1488,147,42
MAHPC,11/18/2020,State,54,125,179,13,35,53,339,17,7,247,427,1062,1979,61,16,1489,133,56
MAHPC,4/13/2021,State,60,134,194,13,26,98,950,18,10,247,491,1058,1979,64,16,1549,138,48
MAHPC,3/30/2021,State,100,95,195,14,25,76,883,6,1,247,555,1005,1979,42,16,1560,150,36
MAHPC,10/13/2020,State,58,121,179,14,60,56,447,15,3,247,483,1012,1979,58,16,1495,145,52
MAHPC,11/10/2020,State,61,118,179,14,41,45,402,20,7,247,480,1019,1979,63,16,1499,139,50
MAHPC,3/3/2021,State,97,97,194,14,27,77,757,16,8,247,593,967,1979,59,16,1560,141,45
MAHPC,11/17/2020,State,59,120,179,14,32,72,389,19,9,247,486,1003,1979,59,16,1489,137,52
MAHPC,2/17/2021,State,76,119,195,14,32,72,774,23,9,247,507,1053,1979,86,16,1560,143,43
MAHPC,12/5/2020,State,57,122,179,14,32,66,334,31,18,247,521,973,1979,113,16,1494,132,57
MAHPC,2/19/2021,State,78,117,195,15,33,82,695,20,8,247,599,956,1979,80,16,1555,141,45
MAHPC,2/16/2021,State,81,114,195,15,35,109,788,23,10,247,525,1035,1979,97,16,1560,134,52
MAHPC,2/11/2021,State,73,132,205,15,32,79,759,25,11,247,516,1039,1979,110,16,1555,134,52
MAHPC,2/2/2021,State,57,148,205,15,33,111,748,34,12,247,468,1092,1979,152,16,1560,127,60
MAHPC,2/4/2021,State,65,140,205,15,34,99,711,30,13,247,503,1052,1979,127,16,1555,132,54
MAHPC,4/1/2021,State,96,92,188,16,17,78,766,8,3,247,533,1003,1979,47,16,1536,147,36
MAHPC,4/2/2021,State,98,96,194,16,26,83,779,12,6,247,587,968,1979,51,16,1555,151,35
MAHPC,12/14/2020,State,75,150,225,16,21,76,363,48,19,247,536,993,1979,142,16,1529,122,67
MAHPC,12/13/2020,State,71,154,225,16,30,69,336,51,19,247,522,1002,1979,139,16,1524,123,66
MAHPC,1/24/2021,State,74,131,205,16,37,56,334,51,19,247,544,1011,1979,185,16,1555,130,57
MAHPC,12/17/2020,State,52,153,205,16,43,78,351,49,23,247,498,1046,1979,163,16,1544,113,76
MAHPC,2/13/2021,State,82,123,205,18,38,102,776,22,9,247,552,1008,1979,103,16,1560,137,49
MAHPC,11/24/2020,State,53,126,179,19,26,60,416,18,11,247,476,1018,1979,81,16,1494,332,51
MAHPC,2/9/2021,State,83,122,205,19,31,123,818,29,15,247,582,978,1979,113,16,1560,133,53
MAHPC,1/18/2021,State,71,135,206,19,32,73,313,73,22,247,526,1035,1979,233,16,1561,114,73
MAHPC,12/1/2020,State,59,120,179,20,40,75,381,26,12,247,443,1046,1979,91,16,1489,129,60
MAHPC,12/10/2020,State,42,137,179,20,38,82,351,38,18,247,442,1056,1979,134,16,1498,125,64
MAHPC,4/22/2021,State,81,114,195,21,22,86,821,18,7,247,530,999,1979,75,16,1529,139,47
MAHPC,2/1/2021,State,60,145,205,21,35,110,672,40,17,247,513,1047,1979,164,16,1560,124,63
MAHPC,1/20/2021,State,62,143,205,21,36,67,356,60,23,247,474,1081,1979,203,16,1555,116,71
MAHPC,12/8/2020,State,50,129,179,21,41,78,427,36,23,247,431,1070,1979,133,16,1501,124,65
MAHPC,2/6/2021,State,70,135,205,22,37,118,731,32,13,247,603,957,1979,121,16,1560,137,49
MAHPC,1/29/2021,State,67,139,206,22,41,131,756,44,18,247,536,1025,1979,154,16,1561,135,52
MAHPC,12/11/2020,State,61,164,225,23,31,74,357,43,18,247,482,1047,1979,151,16,1529,121,68
MAHPC,1/22/2021,State,57,148,205,23,40,63,349,51,22,247,511,1049,1979,184,16,1560,117,70
MAHPC,1/11/2021,State,78,127,205,23,32,80,369,66,32,247,533,1022,1979,212,16,1555,119,72
MAHPC,12/28/2020,State,57,148,205,24,33,86,366,67,13,247,551,1009,1979,204,16,1560,141,49
MAHPC,12/20/2020,State,53,152,205,24,41,85,327,59,16,247,561,982,1979,198,16,1543,133,57
MAHPC,1/17/2021,State,63,143,206,24,30,74,334,77,19,247,541,1020,1979,233,16,1561,128,63
MAHPC,12/9/2020,State,49,130,179,24,37,93,376,39,21,247,438,1060,1979,130,16,1498,121,68
MAHPC,1/25/2021,State,60,147,207,24,37,110,629,56,21,247,521,1036,1979,196,16,1557,124,63
MAHPC,12/27/2020,State,64,141,205,25,42,60,313,62,12,247,620,935,1979,197,16,1555,145,45
MAHPC,12/12/2020,State,68,157,225,25,33,73,388,45,18,247,504,1020,1979,143,16,1524,121,68
MAHPC,12/24/2020,State,56,149,205,25,33,86,362,67,19,247,648,912,1979,186,16,1560,132,58
MAHPC,1/19/2021,State,67,140,207,25,34,71,328,67,24,247,504,1058,1979,222,16,1562,113,74
MAHPC,1/15/2021,State,64,141,205,25,37,93,371,74,25,247,526,1034,1979,234,16,1560,111,80
MAHPC,12/26/2020,State,61,144,205,27,40,83,286,66,18,247,648,907,1979,190,16,1555,145,45
MAHPC,12/22/2020,State,51,154,205,27,42,83,358,68,21,247,524,1031,1979,202,16,1555,134,56
MAHPC,1/3/2021,State,51,154,205,29,32,91,362,70,21,247,516,1044,1979,239,16,1560,131,59
MAHPC,12/15/2020,State,67,157,224,30,40,81,355,50,23,247,496,1032,1979,144,16,1528,113,76
MAHPC,1/7/2021,State,59,146,205,32,40,102,369,64,23,247,480,1075,1979,233,16,1555,122,68
MAHPC,1/9/2021,State,75,130,205,32,38,76,330,54,31,247,565,990,1979,213,16,1555,118,73
MAHPC,12/21/2020,State,61,144,205,33,38,94,351,66,18,247,532,1016,1979,205,16,1548,132,58
MAHPC,1/4/2021,State,52,153,205,33,37,102,409,78,20,247,471,1087,1979,252,16,1558,128,62
MAHPC,12/19/2020,State,49,156,205,36,43,85,323,53,17,247,545,1003,1979,179,16,1548,127,63
MAHPC,1/6/2021,State,60,145,205,36,52,98,361,75,17,247,466,1089,1979,240,16,1555,131,59
MAHPC,12/30/2020,State,54,151,205,37,55,95,429,71,17,247,490,1070,1979,223,16,1560,127,63
MAHPC,1/10/2021,State,76,129,205,38,41,78,337,65,32,247,566,994,1979,209,16,1560,119,72
MAHPC,12/31/2020,State,56,149,205,41,35,100,405,70,19,247,486,1074,1979,235,16,1560,121,69
MAHPC,1/8/2021,State,69,136,205,41,38,89,334,62,28,247,540,1020,1979,218,16,1560,123,67
MAHPC,1/16/2021,State,67,138,205,43,39,68,340,74,24,247,539,1016,1979,234,16,1555,120,71
MAHPC,1/5/2021,State,61,144,205,44,49,118,441,76,17,247,479,1076,1979,241,16,1555,127,63
MAHPC,1/13/2021,State,64,141,205,44,45,90,365,76,31,247,494,1061,1979,235,16,1555,101,90
MAHPC,1/14/2021,State,61,144,205,46,52,91,351,81,27,247,469,1091,1979,238,16,1560,112,79
MAHPC,1/1/2021,State,49,156,205,49,45,107,381,72,19,247,518,1037,1979,242,16,1555,126,64
EHPC,4/11/2020,State,40,165,205,,,,,,,420,621,987,3851,34,10,1608,222,99
EHPC,4/12/2020,State,91,141,232,,,,,,,420,904,1056,3851,42,12,1960,244,108
EHPC,6/27/2020,State,78,164,242,11,30,,,30,,420,729,1481,3851,78,12,2210,283,102
EHPC,6/21/2020,State,72,153,225,14,15,,,33,,420,694,1222,3851,86,12,1916,221,109
EHPC,6/28/2020,State,83,165,248,9,33,,,25,,420,702,1523,3851,76,13,2225,285,105
EHPC,6/20/2020,State,71,170,241,10,14,,,30,,420,695,1475,3851,79,13,2170,304,100
EHPC,6/26/2020,State,75,173,248,13,26,,,33,,420,562,1765,3851,98,13,2327,370,101
EHPC,7/12/2020,State,66,179,245,14,16,,,22,,420,595,1611,3851,72,13,2206,323,132
EHPC,5/22/2020,State,79,159,238,,,,,,,420,665,1341,3851,87,14,2006,313,104
EHPC,7/4/2020,State,74,169,243,9,18,,,15,,420,662,1594,3851,66,14,2256,265,120
EHPC,6/6/2020,State,86,154,240,14,11,,,21,,420,427,1531,3851,85,14,1958,288,95
EHPC,8/2/2020,State,60,192,252,15,20,,,36,,420,679,1631,3851,132,14,2310,285,115
EHPC,5/1/2020,State,103,148,251,,,,,,,420,958,1305,3851,61,15,2263,358,87
EHPC,5/24/2020,State,122,166,288,,,,,,,420,633,1519,3851,101,15,2152,323,107
EHPC,7/18/2020,State,76,184,260,7,32,,,24,,420,614,1817,3851,88,15,2431,284,116
EHPC,6/30/2020,State,59,186,245,9,23,,,26,,420,735,1621,3851,83,15,2356,363,102
EHPC,7/6/2020,State,76,173,249,11,17,,,25,,420,913,1519,3851,73,15,2432,359,111
EHPC,6/14/2020,State,78,168,246,11,17,,,27,,420,797,1383,3851,85,15,2180,327,97
EHPC,7/10/2020,State,63,182,245,12,29,,,26,,420,555,1653,3851,80,15,2208,357,105
EHPC,7/9/2020,State,61,181,242,15,25,,,20,,420,684,1521,3851,81,15,2205,339,113
EHPC,7/19/2020,State,75,189,264,16,23,,,21,,420,618,1804,3851,76,15,2422,305,119
EHPC,7/3/2020,State,62,190,252,16,40,,,23,,420,703,1622,3851,67,15,2325,343,131
EHPC,6/11/2020,State,69,174,243,18,20,,,25,,420,517,1547,3851,85,15,2064,337,92
EHPC,8/13/2020,State,60,188,248,20,23,,,36,,420,617,1754,3851,141,15,2371,255,113
EHPC,7/11/2020,State,65,185,250,21,27,,,22,,420,604,1731,3851,79,15,2335,349,121
EHPC,8/8/2020,State,69,187,256,25,26,,,46,,420,623,1710,3851,158,15,2333,273,101
EHPC,5/30/2020,State,17,249,266,,,,,,,420,658,1560,3851,88,16,2218,335,111
EHPC,5/28/2020,State,76,182,258,,,,,,,420,691,1520,3851,90,16,2211,343,103
